gene,x,y
HECTD1,16674,58321
FTO,16674,58321
SYBU,16704,58321
SNAP25,16716,58321
SNAP25,16716,58321
SNAP25,16716,58321
STAU2,16730,58321
NDFIP1,16760,58321
PLCB4,16760,58321
RAPGEF5,16767,58321
RAPGEF5,16767,58321
KAT6B,16767,58321
UPF3B,16767,58321
TFG,16770,58321
H2AFY,16772,58321
HSP90AA1,16772,58321
MOV10L1,16772,58321
MOV10L1,16772,58321
ANKRD17,16774,58321
SLC25A4,16774,58321
PPHLN1,16774,58321
EVL,16787,58321
EVL,16787,58321
EVL,16787,58321
TAOK3,16807,58321
ARL6IP5,16845,58321
MEF2C,16870,58321
MEF2C,16870,58321
EXOC4,16871,58321
EXOC4,16871,58321
EFNA5,16871,58321
EFNA5,16871,58321
DOCK3,16883,58321
KDSR,16895,58321
PREP,16901,58321
ADGRV1,16902,58321
MRPS16,16915,58321
DNAJC9,16915,58321
MNAT1,16674,58322
NTM,16674,58322
NDUFA8,16674,58322
CAMK2G,16675,58322
COG5,16677,58322
DENND5A,16689,58322
SURF1,16694,58322
NDUFB9,16698,58322
PAF1,16722,58322
TESPA1,16737,58322
DYNLL1,16742,58322
GAP43,16743,58322
GAP43,16743,58322
PHPT1,16743,58322
HMCN1,16761,58322
PCM1,16762,58322
TCERG1,16772,58322
TCERG1,16772,58322
TCERG1,16772,58322
MMD2,16794,58322
RSPO2,16794,58322
RSPO2,16794,58322
GOT2,16816,58322
MTMR10,16822,58322
NME1-NME2,16834,58322
NME1-NME2,16834,58322
NME1-NME2,16834,58322
EML1,16837,58322
DGKB,16869,58322
PCLO,16869,58322
CNTNAP2,16869,58322
CNTNAP2,16869,58322
CNTNAP2,16869,58322
RTN3,16869,58322
RTN3,16869,58322
UBB,16869,58322
ARHGAP35,16869,58322
ADGRB3,16878,58322
MMP16,16895,58322
RPL7A,16898,58322
RPL7A,16898,58322
KCNIP4,16700,58323
SLC4A8,16726,58323
APBA2,16746,58323
IFIT1,16746,58323
RPL30,16747,58323
KIAA0232,16752,58323
KIAA0232,16752,58323
KIAA0232,16752,58323
TPM3,16757,58323
SVBP,16757,58323
SVBP,16757,58323
SVBP,16757,58323
CDKN2AIPNL,16763,58323
RABGAP1,16765,58323
TBC1D32,16767,58323
SUPT6H,16767,58323
GGA2,16783,58323
TTC28,16794,58323
CNKSR2,16824,58323
MRPL38,16829,58323
RAC1,16843,58323
SELENOH,16866,58323
NDUFB5,16882,58323
CSE1L,16882,58323
NDUFAF8,16899,58323
SLC44A1,16676,58324
SLC44A1,16676,58324
SLC44A1,16676,58324
TFE3,16694,58324
TFE3,16694,58324
TFE3,16694,58324
RHOT1,16732,58324
HSPH1,16740,58324
DGKB,16746,58324
CHN1,16746,58324
BEX2,16746,58324
COX7B,16747,58324
COX7B,16747,58324
COX7B,16747,58324
COX7B,16747,58324
FAM3C,16748,58324
SCN9A,16754,58324
ARID2,16757,58324
NCKAP1,16767,58324
SNX24,16775,58324
CADM2,16778,58324
HS3ST4,16786,58324
RPL19,16788,58324
BAG6,16789,58324
RPS24,16806,58324
SERTAD2,16834,58324
PPAN,16834,58324
SNRNP25,16838,58324
SNRNP25,16838,58324
SNRNP25,16838,58324
SNRNP25,16838,58324
SNRNP25,16838,58324
HSD17B6,16840,58324
C7orf43,16841,58324
TMEM30A,16847,58324
TMEM30A,16847,58324
RDX,16856,58324
NGEF,16888,58324
PPP3CA,16902,58324
PPP3CA,16902,58324
EDN1,16905,58324
CLIP1,16678,58325
STAM2,16711,58325
EEF1B2,16713,58325
FTH1,16714,58325
SMARCA1,16715,58325
FOXN2,16726,58325
WHRN,16726,58325
FBXW11,16735,58325
ZNF248,16735,58325
ZNF248,16735,58325
DPF1,16735,58325
GPM6A,16758,58325
GPM6A,16758,58325
API5,16761,58325
ANKRD12,16761,58325
SRGAP3,16765,58325
GSTA4,16765,58325
APC,16765,58325
GOT2,16765,58325
GOT2,16765,58325
GART,16766,58325
MAP1B,16766,58325
HSP90AA1,16766,58325
RNF6,16766,58325
NDRG4,16766,58325
MYCBP2,16767,58325
LRRFIP1,16778,58325
C8orf37,16802,58325
RNF11,16806,58325
ANAPC16,16808,58325
LMO7,16881,58325
LMO7,16881,58325
IRF9,16907,58325
IRF9,16907,58325
SYT1,16682,58326
EGFR,16688,58326
FTH1,16688,58326
HK1,16691,58326
LSM10,16714,58326
CRELD1,16732,58326
PIAS1,16732,58326
PIAS1,16732,58326
PIAS1,16732,58326
PIAS1,16732,58326
SCFD1,16740,58326
VSNL1,16740,58326
LNPEP,16751,58326
MCTP1,16753,58326
GABRA1,16762,58326
ZFAND5,16762,58326
ZFAND5,16762,58326
ZFAND5,16762,58326
KAZN,16765,58326
RRM2B,16765,58326
KCNS3,16765,58326
GABRB2,16768,58326
SAMD4B,16768,58326
NUP93,16768,58326
TAB2,16770,58326
RNF157,16770,58326
MAP1A,16773,58326
FGF12,16778,58326
LPP,16778,58326
CADM2,16778,58326
CADM2,16778,58326
ATL1,16778,58326
ATL1,16778,58326
ATL1,16778,58326
LRRFIP1,16778,58326
FNBP4,16778,58326
CTNNBIP1,16782,58326
NPAT,16782,58326
TULP4,16786,58326
CHN1,16829,58326
CHN1,16829,58326
CHN1,16829,58326
NEGR1,16834,58326
SYT1,16842,58326
RPS16,16842,58326
EDNRB,16849,58326
C9orf78,16870,58326
COX8A,16872,58326
ZNF638,16880,58326
SCLT1,16899,58326
MDH1,16911,58326
RPL4,16685,58327
AMBRA1,16685,58327
C12orf75,16695,58327
SGPP2,16695,58327
VPS28,16752,58327
VPS28,16752,58327
CLTCL1,16758,58327
YWHAH,16763,58327
CHMP2B,16764,58327
CHMP2B,16764,58327
CHMP2B,16764,58327
CHMP2B,16764,58327
CHMP2B,16764,58327
CHMP2B,16764,58327
EXOC4,16764,58327
EXOC4,16764,58327
ALDOC,16764,58327
TERF2IP,16764,58327
TERF2IP,16764,58327
GHITM,16765,58327
SEZ6L2,16771,58327
KCNIP4,16774,58327
KCNIP4,16774,58327
ITPR1,16776,58327
ITPR1,16776,58327
CADM2,16776,58327
CADM2,16776,58327
RPS23,16776,58327
KCNC2,16776,58327
JADE3,16776,58327
XXYLT1,16777,58327
UBA3,16777,58327
CADM2,16777,58327
CADM2,16777,58327
CADM2,16777,58327
CADM2,16777,58327
MDGA2,16777,58327
MDGA2,16777,58327
MDGA2,16777,58327
MYO3A,16777,58327
ZEB1,16777,58327
ZEB1,16777,58327
ZEB1,16777,58327
ZEB1,16777,58327
ZEB1,16777,58327
HERC4,16777,58327
HERC4,16777,58327
HERC4,16777,58327
HERC4,16777,58327
FNBP4,16777,58327
FNBP4,16777,58327
FNBP4,16777,58327
FGF12,16778,58327
FGF12,16778,58327
FGF12,16778,58327
FGF12,16778,58327
TOPBP1,16778,58327
TOPBP1,16778,58327
TOPBP1,16778,58327
TOPBP1,16778,58327
MDGA2,16778,58327
AFDN,16791,58327
IFNGR2,16795,58327
IFNGR2,16795,58327
IFNGR2,16795,58327
CAMK2G,16801,58327
CAMK2G,16801,58327
MRPL51,16817,58327
MAP2K1,16820,58327
MAP2K1,16820,58327
MAP2K1,16820,58327
MAP2K1,16820,58327
RBFOX1,16823,58327
GAP43,16832,58327
ATRNL1,16856,58327
ASCL1,16870,58327
ASCL1,16870,58327
ATP5A1,16879,58327
GRIK5,16895,58327
ELOB,16911,58327
DECR2,16677,58328
CDK8,16678,58328
CFL1,16683,58328
CFL1,16683,58328
CFL1,16683,58328
CFL1,16683,58328
PDP1,16689,58328
PDP1,16689,58328
PSMC5,16708,58328
KDM2A,16759,58328
ZC3H13,16759,58328
TSR2,16760,58328
ATG3,16766,58328
ATG3,16766,58328
COPB2,16773,58328
PTGES3,16773,58328
PTGES3,16773,58328
OLFM1,16785,58328
KCTD2,16790,58328
KCTD2,16790,58328
AK6,16814,58328
AK6,16814,58328
NISCH,16818,58328
NISCH,16818,58328
IL6ST,16828,58328
CSMD1,16832,58328
CA11,16865,58328
MTPAP,16870,58328
TBC1D2,16874,58328
SRSF3,16897,58328
PDP1,16899,58328
UBL5,16899,58328
XRCC6,16906,58328
PSMB2,16675,58329
BIRC6,16676,58329
RPL22,16679,58329
EIF5B,16680,58329
ANKRD13C,16694,58329
CFAP52,16698,58329
ZNF517,16710,58329
NCOA2,16717,58329
C12orf4,16735,58329
AK5,16737,58329
SNX16,16737,58329
POLR2F,16737,58329
NDUFAF1,16757,58329
NDUFAF1,16757,58329
DCTN6,16757,58329
DCTN6,16757,58329
VPS45,16760,58329
VPS45,16760,58329
RDX,16760,58329
MAP1A,16763,58329
PREPL,16763,58329
RPL9,16770,58329
FERMT2,16770,58329
GPATCH11,16770,58329
TBC1D9B,16771,58329
TBC1D9B,16771,58329
TBC1D9B,16771,58329
PBRM1,16774,58329
BPTF,16774,58329
RPS6KA2,16775,58329
NRG3,16775,58329
TMEM50B,16778,58329
UBE3A,16778,58329
MLF2,16778,58329
RPL27A,16782,58329
UBXN6,16802,58329
UBXN6,16802,58329
RBFOX1,16833,58329
RPL27,16857,58329
SQSTM1,16862,58329
KAT7,16888,58329
TRPC5,16888,58329
RGCC,16903,58329
RGCC,16903,58329
ERG,16911,58329
P2RX3,16911,58329
P2RX3,16911,58329
DOCK4,16914,58329
HDAC9,16712,58330
NAP1L1,16735,58330
CUL5,16758,58330
ALKBH5,16758,58330
RNF181,16760,58330
CAMK1,16762,58330
HSPA8,16771,58330
HSPA8,16771,58330
HSPA8,16771,58330
FBXO28,16779,58330
PTBP2,16779,58330
ABAT,16779,58330
NDUFS4,16802,58330
NDUFS4,16802,58330
NDUFS4,16802,58330
NDRG2,16829,58330
FAM171A1,16853,58330
FAM171A1,16853,58330
SNAP25,16875,58330
RHOA,16893,58330
SNX3,16908,58330
CAMK2A,16908,58330
NEFL,16908,58330
COX6B1,16915,58330
SORL1,16916,58330
YWHAH,16675,58331
MFSD4A,16683,58331
MFSD4A,16683,58331
ATP6V0C,16698,58331
SSR4,16699,58331
PARP1,16735,58331
ACADSB,16755,58331
SUCLG1,16755,58331
SUCLG1,16755,58331
RER1,16760,58331
CREM,16760,58331
CREM,16760,58331
TIMM13,16760,58331
ZNF622,16767,58331
THRA,16767,58331
CLTB,16772,58331
CRTAC1,16772,58331
SLC9B2,16777,58331
SLC9B2,16777,58331
GATB,16777,58331
GATB,16777,58331
GATB,16777,58331
TANK,16777,58331
VRK3,16777,58331
PLEKHA5,16778,58331
SIK2,16778,58331
SIK2,16778,58331
SIK2,16778,58331
SIK2,16778,58331
PPP2R1B,16778,58331
ZEB1,16779,58331
ZEB1,16779,58331
RGS7,16790,58331
ITM2B,16802,58331
STMN1,16834,58331
STMN1,16834,58331
BEX2,16848,58331
DDX17,16868,58331
DDX17,16868,58331
APOE,16880,58331
CCDC106,16884,58331
SNU13,16911,58331
KAZN,16719,58332
ISCA1,16719,58332
LHFPL4,16731,58332
LHFPL4,16731,58332
GLT1D1,16733,58332
SCN3B,16733,58332
TUBA1B,16736,58332
TUBA1B,16736,58332
UBE4A,16745,58332
UBE4A,16745,58332
UBE4A,16745,58332
DNAJC10,16760,58332
TSC22D1,16760,58332
TSC22D1,16760,58332
ATPIF1,16762,58332
BRD2,16763,58332
METAP1,16771,58332
ZNF770,16771,58332
GSR,16771,58332
EIF1B,16772,58332
PARM1,16777,58332
SCFD2,16777,58332
SCFD2,16777,58332
PEBP1,16781,58332
PEBP1,16781,58332
STMN1,16834,58332
VSNL1,16834,58332
FBXL14,16836,58332
FBXL14,16836,58332
VMP1,16914,58332
BOK,16709,58333
CADM3,16717,58333
YAF2,16717,58333
YAF2,16717,58333
CASK,16731,58333
CASK,16731,58333
APLF,16736,58333
PLD3,16736,58333
INTS10,16742,58333
NCBP1,16756,58333
NCBP1,16756,58333
UBL5,16756,58333
YPEL,16757,58333
SEPT8,16758,58333
IL34,16758,58333
IL34,16758,58333
ATP5O,16759,58333
PTPRD,16760,58333
RAPGEF5,16761,58333
SLC12A5,16762,58333
DPF1,16763,58333
NDUFB5,16768,58333
NDUFA4,16768,58333
KCNIP4,16768,58333
FSIP1,16768,58333
MKLN1,16769,58333
STAU2,16771,58333
STAU2,16771,58333
STAU2,16771,58333
SLC43A2,16771,58333
TTC8,16772,58333
BIRC6,16772,58333
ALDOC,16772,58333
ANKRD17,16776,58333
