x,y,gene
16681,59805,A2M
16720,58948,A2M
16781,58716,A2M
16789,58380,A2M
16840,60390,A2M
16881,60777,A2M
16895,59177,A2M
17067,58627,A2M
17067,58627,A2M
17131,58506,A2M
17237,59244,A2M
17369,60200,A2M
17389,60214,A2M
17412,59847,A2M
17419,58955,A2M
17495,59870,A2M
17496,60420,A2M
17602,60374,A2M
17692,58669,A2M
17722,60365,A2M
17722,60365,A2M
17722,60365,A2M
17745,59801,A2M
17749,58979,A2M
17783,59221,A2M
17907,59047,A2M
17908,59048,A2M
17940,60448,A2M
17981,58546,A2M
18012,58571,A2M
18023,58512,A2M
18050,58409,A2M
18071,58869,A2M
18079,58862,A2M
18229,58445,A2M
18284,60548,A2M
18289,58464,A2M
18350,58727,A2M
18350,58727,A2M
18366,60416,A2M
18467,59822,A2M
18649,59650,A2M
18664,58484,A2M
18664,58484,A2M
18708,59127,A2M
18723,58746,A2M
18852,60643,A2M
18856,59096,A2M
18862,60768,A2M
16875,59636,A2ML1
17083,58722,A2ML1
17220,60403,A2ML1
17471,60375,A2ML1
18061,59919,A2ML1
18175,60597,A2ML1
18549,60027,A2ML1
17570,58938,A3GALT2
16828,58359,A4GALT
16879,60364,AAAS
17711,59357,AAAS
17816,59751,AAAS
17839,58981,AAAS
17942,60323,AAAS
18310,59576,AAAS
18596,59824,AAAS
18596,59824,AAAS
18624,60821,AAAS
18633,60025,AAAS
18633,60025,AAAS
16672,59899,AACS
16672,59899,AACS
16681,58755,AACS
16695,60445,AACS
16769,60521,AACS
16784,59890,AACS
16784,59890,AACS
16812,60359,AACS
16812,60359,AACS
16845,59211,AACS
16893,59566,AACS
16900,59304,AACS
16932,59136,AACS
16932,59136,AACS
17091,59530,AACS
17103,59570,AACS
17103,59570,AACS
17103,59570,AACS
17113,58742,AACS
17113,59546,AACS
17134,60296,AACS
17136,58869,AACS
17188,60004,AACS
17195,59412,AACS
17207,60400,AACS
17228,60155,AACS
17256,59635,AACS
17256,59635,AACS
17331,60403,AACS
17342,58379,AACS
17356,58726,AACS
17356,58726,AACS
17356,58726,AACS
17356,58726,AACS
17362,59966,AACS
17417,58824,AACS
17427,59118,AACS
17451,58666,AACS
17472,59865,AACS
17505,60572,AACS
17505,60572,AACS
17546,59745,AACS
17546,59745,AACS
17546,59745,AACS
17575,59744,AACS
17628,58567,AACS
17636,60032,AACS
17636,60032,AACS
17729,58819,AACS
17792,60609,AACS
17831,60156,AACS
17836,60561,AACS
17843,59259,AACS
17884,60588,AACS
17884,60588,AACS
17920,59136,AACS
17920,59136,AACS
17961,59123,AACS
17981,59226,AACS
17997,60642,AACS
18058,58784,AACS
18130,60419,AACS
18154,60530,AACS
18216,60770,AACS
18242,58559,AACS
18242,58559,AACS
18310,60528,AACS
18316,60450,AACS
18375,59336,AACS
18375,59336,AACS
18417,59157,AACS
18424,60767,AACS
18448,58833,AACS
18484,60448,AACS
18493,60208,AACS
18498,58921,AACS
18501,59088,AACS
18529,60198,AACS
18561,60801,AACS
18579,58684,AACS
18585,59154,AACS
18692,59959,AACS
18729,60456,AACS
18778,58840,AACS
18815,58651,AACS
18832,60623,AACS
18832,60623,AACS
18845,60375,AACS
18863,60483,AACS
18873,60634,AACS
18007,58566,AADAC
17875,60820,AADACL2
18156,58823,AADACL2
17919,59398,AADACL3
18508,60200,AADACL4
16686,60689,AADAT
16686,60689,AADAT
16689,60625,AADAT
16689,60625,AADAT
16689,60625,AADAT
16716,59915,AADAT
16838,60411,AADAT
16846,60699,AADAT
16988,60114,AADAT
16997,60152,AADAT
17137,59359,AADAT
17504,60830,AADAT
17545,59806,AADAT
17545,59806,AADAT
17570,60374,AADAT
17669,59038,AADAT
17683,58847,AADAT
17791,59445,AADAT
